/var/spool/slurmd/job2113621/slurm_script: line 7: activate: No such file or directory
/scratch/network/wj9138/anaconda3/envs/mlfold/lib/python3.12/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/scratch/network/wj9138/anaconda3/envs/mlfold/lib/python3.12/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/scratch/network/wj9138/anaconda3/envs/mlfold/lib/python3.12/site-packages/torch/utils/checkpoint.py:91: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
epoch: 204, step: 236, time: 1.6, train: 4.034, valid: 2.885, train_acc: 0.354, valid_acc: 0.540
epoch: 205, step: 237, time: 0.5, train: 3.967, valid: 2.841, train_acc: 0.378, valid_acc: 0.533
epoch: 206, step: 238, time: 0.5, train: 3.861, valid: 2.863, train_acc: 0.398, valid_acc: 0.511
epoch: 207, step: 239, time: 5.5, train: 3.824, valid: 2.941, train_acc: 0.399, valid_acc: 0.493
epoch: 208, step: 240, time: 0.5, train: 3.913, valid: 2.967, train_acc: 0.380, valid_acc: 0.494
epoch: 209, step: 241, time: 5.5, train: 3.846, valid: 2.925, train_acc: 0.398, valid_acc: 0.503
epoch: 210, step: 242, time: 0.5, train: 3.732, valid: 2.865, train_acc: 0.410, valid_acc: 0.531
epoch: 211, step: 243, time: 5.6, train: 3.684, valid: 2.851, train_acc: 0.412, valid_acc: 0.538
epoch: 212, step: 244, time: 0.5, train: 3.675, valid: 2.854, train_acc: 0.401, valid_acc: 0.556
epoch: 213, step: 245, time: 5.5, train: 3.726, valid: 2.831, train_acc: 0.401, valid_acc: 0.544
epoch: 214, step: 246, time: 0.5, train: 3.660, valid: 2.823, train_acc: 0.427, valid_acc: 0.551
epoch: 215, step: 247, time: 5.5, train: 3.601, valid: 2.868, train_acc: 0.414, valid_acc: 0.526
epoch: 216, step: 248, time: 0.5, train: 3.668, valid: 2.902, train_acc: 0.413, valid_acc: 0.521
epoch: 217, step: 250, time: 6.2, train: 3.813, valid: 3.813, train_acc: 0.395, valid_acc: 0.346
epoch: 218, step: 252, time: 0.9, train: 3.717, valid: 3.746, train_acc: 0.412, valid_acc: 0.355
epoch: 219, step: 254, time: 6.1, train: 3.786, valid: 3.613, train_acc: 0.403, valid_acc: 0.396
epoch: 220, step: 256, time: 0.9, train: 3.765, valid: 3.513, train_acc: 0.415, valid_acc: 0.434
epoch: 221, step: 258, time: 6.2, train: 3.645, valid: 3.641, train_acc: 0.433, valid_acc: 0.415
epoch: 222, step: 260, time: 0.9, train: 3.632, valid: 3.855, train_acc: 0.412, valid_acc: 0.356
epoch: 223, step: 262, time: 6.2, train: 3.644, valid: 3.770, train_acc: 0.427, valid_acc: 0.376
epoch: 224, step: 264, time: 0.9, train: 3.510, valid: 3.414, train_acc: 0.444, valid_acc: 0.444
epoch: 225, step: 266, time: 7.2, train: 3.914, valid: 3.453, train_acc: 0.396, valid_acc: 0.432
epoch: 226, step: 268, time: 0.9, train: 4.138, valid: 3.578, train_acc: 0.373, valid_acc: 0.399
epoch: 227, step: 270, time: 7.0, train: 3.552, valid: 3.934, train_acc: 0.425, valid_acc: 0.341
epoch: 228, step: 272, time: 0.9, train: 3.790, valid: 3.980, train_acc: 0.402, valid_acc: 0.332
epoch: 229, step: 274, time: 6.9, train: 3.609, valid: 2.880, train_acc: 0.423, valid_acc: 0.567
epoch: 230, step: 276, time: 0.7, train: 3.534, valid: 2.830, train_acc: 0.435, valid_acc: 0.550
epoch: 231, step: 278, time: 6.9, train: 3.461, valid: 2.789, train_acc: 0.455, valid_acc: 0.547
epoch: 232, step: 280, time: 0.6, train: 3.451, valid: 2.840, train_acc: 0.443, valid_acc: 0.567
epoch: 233, step: 282, time: 5.9, train: 3.415, valid: 2.784, train_acc: 0.472, valid_acc: 0.583
epoch: 234, step: 284, time: 0.6, train: 3.335, valid: 2.734, train_acc: 0.476, valid_acc: 0.566
epoch: 235, step: 286, time: 5.8, train: 3.352, valid: 2.713, train_acc: 0.471, valid_acc: 0.580
epoch: 236, step: 288, time: 0.6, train: 3.276, valid: 2.748, train_acc: 0.489, valid_acc: 0.586
epoch: 237, step: 290, time: 5.8, train: 3.267, valid: 2.690, train_acc: 0.490, valid_acc: 0.582
