epoch: 16, step: 26, time: 1.5, train: 103.057, valid: 28.658, train_acc: 0.188, valid_acc: 0.182
epoch: 17, step: 27, time: 0.4, train: 109.126, valid: 27.188, train_acc: 0.183, valid_acc: 0.188
epoch: 18, step: 28, time: 0.4, train: 105.611, valid: 26.770, train_acc: 0.164, valid_acc: 0.190
epoch: 19, step: 29, time: 5.4, train: 101.227, valid: 26.131, train_acc: 0.167, valid_acc: 0.174
epoch: 20, step: 30, time: 0.4, train: 121.531, valid: 25.326, train_acc: 0.144, valid_acc: 0.199
epoch: 21, step: 31, time: 5.6, train: 86.226, valid: 23.860, train_acc: 0.190, valid_acc: 0.203
epoch: 22, step: 32, time: 0.4, train: 71.355, valid: 24.071, train_acc: 0.185, valid_acc: 0.197
epoch: 23, step: 33, time: 5.5, train: 88.055, valid: 23.893, train_acc: 0.177, valid_acc: 0.196
epoch: 24, step: 34, time: 0.4, train: 79.512, valid: 23.006, train_acc: 0.188, valid_acc: 0.215
epoch: 25, step: 35, time: 5.5, train: 72.090, valid: 21.921, train_acc: 0.145, valid_acc: 0.202
epoch: 26, step: 36, time: 0.4, train: 73.434, valid: 21.902, train_acc: 0.182, valid_acc: 0.204
epoch: 27, step: 37, time: 5.5, train: 69.379, valid: 20.948, train_acc: 0.185, valid_acc: 0.207
epoch: 28, step: 38, time: 0.4, train: 63.924, valid: 21.663, train_acc: 0.171, valid_acc: 0.212
epoch: 29, step: 39, time: 5.5, train: 60.894, valid: 32.027, train_acc: 0.191, valid_acc: 0.164
epoch: 30, step: 40, time: 0.4, train: 54.885, valid: 28.029, train_acc: 0.218, valid_acc: 0.169
epoch: 31, step: 41, time: 5.4, train: 56.661, valid: 28.302, train_acc: 0.210, valid_acc: 0.164
epoch: 32, step: 42, time: 0.4, train: 48.309, valid: 27.059, train_acc: 0.216, valid_acc: 0.179
epoch: 33, step: 43, time: 5.5, train: 49.907, valid: 26.095, train_acc: 0.212, valid_acc: 0.180
epoch: 34, step: 44, time: 0.4, train: 44.409, valid: 25.337, train_acc: 0.224, valid_acc: 0.191
epoch: 35, step: 45, time: 5.5, train: 41.033, valid: 23.387, train_acc: 0.220, valid_acc: 0.191
epoch: 36, step: 46, time: 0.4, train: 43.104, valid: 22.480, train_acc: 0.204, valid_acc: 0.194
epoch: 37, step: 47, time: 6.0, train: 40.002, valid: 21.812, train_acc: 0.222, valid_acc: 0.191
epoch: 38, step: 48, time: 0.4, train: 44.038, valid: 21.991, train_acc: 0.187, valid_acc: 0.212
epoch: 39, step: 49, time: 5.4, train: 43.321, valid: 20.920, train_acc: 0.220, valid_acc: 0.187
epoch: 40, step: 50, time: 0.4, train: 38.397, valid: 21.336, train_acc: 0.212, valid_acc: 0.208
epoch: 41, step: 51, time: 5.8, train: 33.859, valid: 16.364, train_acc: 0.239, valid_acc: 0.252
epoch: 42, step: 52, time: 0.3, train: 41.067, valid: 14.893, train_acc: 0.196, valid_acc: 0.242
epoch: 43, step: 53, time: 5.2, train: 38.803, valid: 15.700, train_acc: 0.213, valid_acc: 0.246
epoch: 44, step: 54, time: 0.3, train: 36.590, valid: 15.053, train_acc: 0.217, valid_acc: 0.237
epoch: 45, step: 55, time: 5.2, train: 37.854, valid: 14.778, train_acc: 0.210, valid_acc: 0.238
